installment_id,order_id,user_id,merchant_id,installment_number,due_date,paid_date,status,late_days,anchor_date,late_days_final,is_late,signup_date,kyc_level,user_city,account_status,account_age_days,kyc_level_num,account_status_num,user_trust_score,late_payment_rate_90d,avg_late_days_90d,max_late_days_90d,on_time_payment_rate_90d,num_active_plans,repayment_severity_score,load_pressure_score,total_orders_30d,avg_order_amount_30d,max_order_amount_30d,sum_order_amount_30d,spend_pressure_score,currency,dispute_count_90d,refund_count_90d,context_friction_score,checkout_start_30d,checkout_success_30d,checkout_abandon_30d,checkout_abandon_rate_30d,checkout_friction_score,merchant_name,category,city_merchant,merchant_status,merchant_status_num,merchant_dispute_rate_90d,merchant_refund_rate_90d,merchant_risk_score
inst_0000001,order_000006,user_00002,merchant_0109,1,2026-01-31,2026-01-30,paid,0.0,2026-01-31,0.0,0,2025-11-07,full,Casablanca,active,85,2,1,2.5,0.0,0.0,0.0,1.0,0,0.0,0.0,2,1816.0,2911.0,3632.0,5.22540216105719,MAD,0,0,0.0,2,1,1,0.5,1.6931471805599454,Merchant 109,electronics,Casablanca,active,1,0.0,0.0,0.0
inst_0000003,order_000006,user_00002,merchant_0109,3,2026-04-01,2026-04-06,late,5.0,2026-04-01,5.0,1,2025-11-07,full,Casablanca,active,145,2,1,2.5,0.0,0.0,0.0,1.0,1,0.0,0.6931471805599453,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,Merchant 109,electronics,Casablanca,active,1,0.0,0.0,0.0
inst_0000004,order_000007,user_00002,merchant_0053,1,2025-12-10,2025-12-10,paid,0.0,2025-12-10,0.0,0,2025-11-07,full,Casablanca,active,33,2,1,2.5,,,,,0,0.8,0.0,1,877.0,877.0,877.0,4.343846828405048,MAD,0,0,0.0,1,1,0,0.0,0.0,Merchant 53,travel,Marrakech,active,1,0.0,0.0,0.0
inst_0000005,order_000007,user_00002,merchant_0053,2,2026-01-09,2026-01-08,paid,0.0,2026-01-09,0.0,0,2025-11-07,full,Casablanca,active,63,2,1,2.5,0.0,0.0,0.0,1.0,0,0.0,0.0,1,721.0,721.0,721.0,4.2264739555596735,MAD,0,0,0.0,1,1,0,0.0,0.0,Merchant 53,travel,Marrakech,active,1,0.13043478260869565,0.043478260869565216,0.30434782608695654
inst_0000006,order_000007,user_00002,merchant_0053,3,2026-02-08,2026-02-07,paid,0.0,2026-02-08,0.0,0,2025-11-07,full,Casablanca,active,93,2,1,2.5,0.0,0.0,0.0,1.0,0,0.0,0.0,1,2911.0,2911.0,2911.0,5.063216117813924,MAD,0,0,0.0,1,0,1,1.0,2.6931471805599454,Merchant 53,travel,Marrakech,active,1,0.16666666666666666,0.1111111111111111,0.4444444444444444
inst_0000007,order_000008,user_00003,merchant_0093,1,2026-01-05,2026-01-03,paid,0.0,2026-01-05,0.0,0,2025-10-31,basic,Marrakech,active,66,1,1,2.0,,,,,0,0.8,0.0,2,2599.5,3714.0,5199.0,5.37152528975836,MAD,0,0,0.0,2,2,0,0.0,0.0,Merchant 93,home,Rabat,active,1,0.0,0.0,0.0
inst_0000008,order_000008,user_00003,merchant_0093,2,2026-02-04,2026-02-07,late,3.0,2026-02-04,3.0,1,2025-10-31,basic,Marrakech,active,96,1,1,2.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,,,,0.0,MAD,1,0,1.0,0,0,0,0.0,0.0,Merchant 93,home,Rabat,active,1,0.2,0.1,0.5
inst_0000009,order_000008,user_00003,merchant_0093,3,2026-03-06,2026-03-26,late,20.0,2026-03-06,20.0,1,2025-10-31,basic,Marrakech,active,126,1,1,2.0,0.5,3.0,3.0,0.5,0,2.1204060527839235,0.0,0,,,,0.0,MAD,1,0,1.0,0,0,0,0.0,0.0,Merchant 93,home,Rabat,active,1,0.25,0.125,0.625
inst_0000010,order_000011,user_00004,merchant_0118,1,2026-01-15,2026-01-14,paid,0.0,2026-01-15,0.0,0,2025-09-19,full,Rabat,active,118,2,1,2.5,0.25,7.0,7.0,0.75,1,2.030609079175885,0.6931471805599453,1,1575.0,1575.0,1575.0,4.694846034474673,MAD,0,0,0.0,1,1,0,0.0,0.0,Merchant 118,travel,Casablanca,active,1,0.0,0.0,0.0
inst_0000011,order_000011,user_00004,merchant_0118,2,2026-02-14,2026-02-13,paid,0.0,2026-02-14,0.0,0,2025-09-19,full,Rabat,active,148,2,1,2.5,0.2,7.0,7.0,0.8,1,1.915609079175885,0.6931471805599453,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,Merchant 118,travel,Casablanca,active,1,0.0,0.0,0.0
inst_0000012,order_000011,user_00004,merchant_0118,3,2026-03-16,2026-03-16,paid,0.0,2026-03-16,0.0,0,2025-09-19,full,Rabat,active,178,2,1,2.5,0.16666666666666666,7.0,7.0,0.8333333333333334,2,1.8389424125092184,1.0986122886681098,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,Merchant 118,travel,Casablanca,active,1,0.1,0.0,0.2
inst_0000014,order_000012,user_00004,merchant_0031,2,2025-12-15,2025-12-14,paid,0.0,2025-12-15,0.0,0,2025-09-19,full,Rabat,active,87,2,1,2.5,0.0,0.0,0.0,1.0,1,0.0,0.6931471805599453,1,1294.0,1294.0,1294.0,4.5770184567041605,MAD,0,0,0.0,1,1,0,0.0,0.0,Merchant 31,home,Marrakech,active,1,0.0,0.0,0.0
inst_0000015,order_000012,user_00004,merchant_0031,3,2026-01-14,2026-01-13,paid,0.0,2026-01-14,0.0,0,2025-09-19,full,Rabat,active,117,2,1,2.5,0.3333333333333333,7.0,7.0,0.6666666666666666,1,2.222275745842552,0.6931471805599453,1,1575.0,1575.0,1575.0,4.694846034474673,MAD,0,0,0.0,1,1,0,0.0,0.0,Merchant 31,home,Marrakech,active,1,0.0,0.0,0.0
inst_0000016,order_000014,user_00004,merchant_0061,1,2026-01-04,2026-01-11,late,7.0,2026-01-04,7.0,1,2025-09-19,full,Rabat,active,107,2,1,2.5,0.0,0.0,0.0,1.0,1,0.0,0.6931471805599453,2,1434.5,1575.0,2869.0,4.857032077717939,MAD,0,0,0.0,2,2,0,0.0,0.0,Merchant 61,fashion,Casablanca,active,1,0.0,0.0,0.0
inst_0000017,order_000014,user_00004,merchant_0061,2,2026-02-03,2026-02-03,paid,0.0,2026-02-03,0.0,0,2025-09-19,full,Rabat,active,137,2,1,2.5,0.2,7.0,7.0,0.8,1,1.915609079175885,0.6931471805599453,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,Merchant 61,fashion,Casablanca,active,1,0.0,0.0,0.0
inst_0000019,order_000016,user_00006,merchant_0075,1,2025-12-26,2025-12-26,paid,0.0,2025-12-26,0.0,0,2025-10-25,full,Rabat,active,62,2,1,2.5,0.0,0.0,0.0,1.0,0,0.0,0.0,4,2451.75,3708.0,9807.0,5.574885711467394,MAD,0,0,0.0,4,4,0,0.0,0.0,Merchant 75,travel,Marrakech,active,1,0.15384615384615385,0.15384615384615385,0.46153846153846156
inst_0000020,order_000016,user_00006,merchant_0075,2,2026-01-25,2026-01-23,paid,0.0,2026-01-25,0.0,0,2025-10-25,full,Rabat,active,92,2,1,2.5,0.0,0.0,0.0,1.0,0,0.0,0.0,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,Merchant 75,travel,Marrakech,active,1,0.09523809523809523,0.09523809523809523,0.2857142857142857
inst_0000021,order_000016,user_00006,merchant_0075,3,2026-02-24,2026-02-24,paid,0.0,2026-02-24,0.0,0,2025-10-25,full,Rabat,active,122,2,1,2.5,0.09090909090909091,24.0,24.0,0.9090909090909091,2,2.46230398649865,1.0986122886681098,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,Merchant 75,travel,Marrakech,active,1,0.05555555555555555,0.05555555555555555,0.16666666666666666
