order_id,user_id,merchant_id,order_date,amount,currency,installments_count_x,status,signup_date,kyc_level,city,account_status,created_at,updated_at,merchant_name,category,city_merchant,merchant_status,created_at_merchant,updated_at_merchant,installments_count_y,paid_installments,late_installments,unpaid_installments,max_late_days,successful_payments,failed_payments,has_dispute,refund_amount
order_000001,user_00001,merchant_0069,2025-10-31,1281,MAD,3,rejected,2025-10-30,basic,Marrakech,blocked,2025-10-30 11:45:03.427010,2025-10-30 11:45:03.427010,Merchant 69,travel,Marrakech,active,2025-09-10 11:46:47.416889,2025-09-10 11:46:47.416889,,0,0,0,0.0,0,0,0,0.0
order_000002,user_00001,merchant_0024,2026-01-09,2451,MAD,3,rejected,2025-10-30,basic,Marrakech,blocked,2025-10-30 11:45:03.427010,2025-10-30 11:45:03.427010,Merchant 24,electronics,Rabat,active,2025-10-22 11:46:47.416889,2025-10-22 11:46:47.416889,,0,0,0,0.0,0,0,0,0.0
order_000003,user_00001,merchant_0047,2025-11-06,3118,MAD,3,rejected,2025-10-30,basic,Marrakech,blocked,2025-10-30 11:45:03.427010,2025-10-30 11:45:03.427010,Merchant 47,home,Marrakech,active,2025-10-31 11:46:47.416889,2025-10-31 11:46:47.416889,,0,0,0,0.0,0,0,0,0.0
order_000004,user_00001,merchant_0017,2025-11-07,2446,MAD,3,rejected,2025-10-30,basic,Marrakech,blocked,2025-10-30 11:45:03.427010,2025-10-30 11:45:03.427010,Merchant 17,home,Casablanca,active,2025-11-01 11:46:47.416889,2025-11-01 11:46:47.416889,,0,0,0,0.0,0,0,0,0.0
order_000005,user_00002,merchant_0054,2026-01-13,2911,MAD,3,rejected,2025-11-07,full,Casablanca,active,2025-11-07 11:45:03.427010,2025-11-07 11:45:03.427010,Merchant 54,fashion,Casablanca,closed,2025-08-07 11:46:47.416889,2025-08-07 11:46:47.416889,,0,0,0,0.0,0,0,0,0.0
order_000006,user_00002,merchant_0109,2026-01-01,721,MAD,3,approved,2025-11-07,full,Casablanca,active,2025-11-07 11:45:03.427010,2025-11-07 11:45:03.427010,Merchant 109,electronics,Casablanca,active,2025-09-15 11:46:47.416889,2025-09-15 11:46:47.416889,3.0,1,1,1,5.0,2,1,0,0.0
order_000007,user_00002,merchant_0053,2025-11-10,877,MAD,3,approved,2025-11-07,full,Casablanca,active,2025-11-07 11:45:03.427010,2025-11-07 11:45:03.427010,Merchant 53,travel,Marrakech,active,2025-08-24 11:46:47.416889,2025-08-24 11:46:47.416889,3.0,3,0,0,0.0,3,0,0,0.0
order_000008,user_00003,merchant_0093,2025-12-06,3714,MAD,3,approved,2025-10-31,basic,Marrakech,active,2025-10-31 11:45:03.427010,2025-10-31 11:45:03.427010,Merchant 93,home,Rabat,active,2025-08-03 11:46:47.416889,2025-08-03 11:46:47.416889,3.0,1,2,0,20.0,3,0,1,0.0
order_000009,user_00003,merchant_0081,2025-11-14,3478,MAD,3,rejected,2025-10-31,basic,Marrakech,active,2025-10-31 11:45:03.427010,2025-10-31 11:45:03.427010,Merchant 81,electronics,Rabat,active,2025-09-02 11:46:47.416889,2025-09-02 11:46:47.416889,,0,0,0,0.0,0,0,0,0.0
order_000010,user_00003,merchant_0038,2025-12-14,1485,MAD,3,rejected,2025-10-31,basic,Marrakech,active,2025-10-31 11:45:03.427010,2025-10-31 11:45:03.427010,Merchant 38,travel,Marrakech,closed,2025-08-17 11:46:47.416889,2025-08-17 11:46:47.416889,,0,0,0,0.0,0,0,0,0.0
order_000011,user_00004,merchant_0118,2025-12-16,1575,MAD,3,approved,2025-09-19,full,Rabat,active,2025-09-19 11:45:03.427010,2025-09-19 11:45:03.427010,Merchant 118,travel,Casablanca,active,2025-10-09 11:46:47.416889,2025-10-09 11:46:47.416889,3.0,3,0,0,0.0,3,0,0,0.0
order_000012,user_00004,merchant_0031,2025-10-16,2551,MAD,3,approved,2025-09-19,full,Rabat,active,2025-09-19 11:45:03.427010,2025-09-19 11:45:03.427010,Merchant 31,home,Marrakech,active,2025-10-07 11:46:47.416889,2025-10-07 11:46:47.416889,3.0,2,0,1,0.0,2,1,0,0.0
order_000013,user_00004,merchant_0054,2025-11-06,3395,MAD,3,rejected,2025-09-19,full,Rabat,active,2025-09-19 11:45:03.427010,2025-09-19 11:45:03.427010,Merchant 54,fashion,Casablanca,closed,2025-08-07 11:46:47.416889,2025-08-07 11:46:47.416889,,0,0,0,0.0,0,0,0,0.0
order_000014,user_00004,merchant_0061,2025-12-05,1294,MAD,3,approved,2025-09-19,full,Rabat,active,2025-09-19 11:45:03.427010,2025-09-19 11:45:03.427010,Merchant 61,fashion,Casablanca,active,2025-10-20 11:46:47.416889,2025-10-20 11:46:47.416889,3.0,1,1,1,7.0,2,1,0,0.0
order_000015,user_00005,merchant_0015,2026-02-25,1304,MAD,3,rejected,2025-12-11,full,Rabat,active,2025-12-11 11:45:03.427010,2025-12-11 11:45:03.427010,Merchant 15,electronics,Casablanca,blocked,2025-10-07 11:46:47.416889,2025-10-07 11:46:47.416889,,0,0,0,0.0,0,0,0,0.0
order_000016,user_00006,merchant_0075,2025-11-26,3708,MAD,3,approved,2025-10-25,full,Rabat,active,2025-10-25 11:45:03.427010,2025-10-25 11:45:03.427010,Merchant 75,travel,Marrakech,active,2025-08-11 11:46:47.416889,2025-08-11 11:46:47.416889,3.0,3,0,0,0.0,3,0,0,0.0
order_000017,user_00006,merchant_0025,2025-12-10,1755,MAD,3,approved,2025-10-25,full,Rabat,active,2025-10-25 11:45:03.427010,2025-10-25 11:45:03.427010,Merchant 25,home,Casablanca,active,2025-09-28 11:46:47.416889,2025-09-28 11:46:47.416889,3.0,3,0,0,0.0,2,1,0,0.0
order_000018,user_00006,merchant_0006,2025-12-25,2933,MAD,3,approved,2025-10-25,full,Rabat,active,2025-10-25 11:45:03.427010,2025-10-25 11:45:03.427010,Merchant 6,home,Rabat,active,2025-08-18 11:46:47.416889,2025-08-18 11:46:47.416889,3.0,2,1,0,24.0,2,1,0,0.0
order_000019,user_00006,merchant_0051,2025-11-18,626,MAD,3,approved,2025-10-25,full,Rabat,active,2025-10-25 11:45:03.427010,2025-10-25 11:45:03.427010,Merchant 51,home,Rabat,active,2025-09-30 11:46:47.416889,2025-09-30 11:46:47.416889,3.0,3,0,0,0.0,2,1,0,0.0
order_000020,user_00006,merchant_0096,2025-12-04,1411,MAD,3,approved,2025-10-25,full,Rabat,active,2025-10-25 11:45:03.427010,2025-10-25 11:45:03.427010,Merchant 96,travel,Rabat,active,2025-07-31 11:46:47.416889,2025-07-31 11:46:47.416889,3.0,2,0,1,0.0,2,0,0,0.0
order_000021,user_00007,merchant_0013,2026-02-26,1546,MAD,3,approved,2025-12-04,full,Marrakech,active,2025-12-04 11:45:03.427010,2025-12-04 11:45:03.427010,Merchant 13,fashion,Rabat,active,2025-09-06 11:46:47.416889,2025-09-06 11:46:47.416889,3.0,3,0,0,0.0,3,0,0,0.0
