installment_id,order_id,user_id,merchant_id,installment_number,anchor_date,due_date,status,account_age_days,kyc_level_num,account_status_num,user_trust_score,user_city,late_payment_rate_90d,avg_late_days_90d,max_late_days_90d,on_time_payment_rate_90d,num_active_plans,repayment_severity_score,load_pressure_score,total_orders_30d,avg_order_amount_30d,max_order_amount_30d,sum_order_amount_30d,spend_pressure_score,currency,dispute_count_90d,refund_count_90d,context_friction_score,checkout_start_30d,checkout_success_30d,checkout_abandon_30d,checkout_abandon_rate_30d,checkout_friction_score,merchant_status_num,merchant_dispute_rate_90d,merchant_refund_rate_90d,merchant_risk_score,category,city_merchant,model_id,model_name,proba_late_30d,risk_threshold,is_risky_late,margin_vs_threshold
inst_0000002,order_000006,user_00002,merchant_0109,2,2026-01-17,2026-03-02,unpaid,71.0,2,1,2.5,Casablanca,0.0,0.0,0.0,1.0,4,0.0,1.6094379124341005,2,1816.0,2911.0,3632.0,5.22540216105719,MAD,0,0,0.0,2,1,1,0.5,1.6931471805599454,1,0.0,0.0,0.0,electronics,Casablanca,uc1_late_payment_risk,LogReg,0.3050886166396939,0.48999999999999994,0,-0.18491138336030605
inst_0000018,order_000014,user_00004,merchant_0061,3,2026-01-17,2026-03-05,unpaid,120.0,2,1,2.5,Rabat,0.2,7.0,7.0,0.8,5,1.915609079175885,1.791759469228055,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,fashion,Casablanca,uc1_late_payment_risk,LogReg,0.3870558680425741,0.48999999999999994,0,-0.10294413195742586
inst_0000032,order_000020,user_00006,merchant_0096,2,2026-01-17,2026-02-02,unpaid,84.0,2,1,2.5,Rabat,0.0,0.0,0.0,1.0,10,0.0,2.3978952727983707,1,2933.0,2933.0,2933.0,5.067732047445734,MAD,0,0,0.0,1,1,0,0.0,0.0,1,0.0434782608695652,0.0,0.0869565217391304,travel,Rabat,uc1_late_payment_risk,LogReg,0.25029825481623497,0.48999999999999994,0,-0.23970174518376497
inst_0000039,order_000022,user_00007,merchant_0095,3,2026-01-17,2026-05-23,unpaid,44.0,2,1,2.5,Marrakech,,,,,9,0.8,2.302585092994046,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,electronics,Rabat,uc1_late_payment_risk,LogReg,0.19878624712698653,0.48999999999999994,0,-0.29121375287301343
inst_0000041,order_000023,user_00007,merchant_0041,2,2026-01-17,2026-04-05,unpaid,44.0,2,1,2.5,Marrakech,,,,,9,0.8,2.302585092994046,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,electronics,Casablanca,uc1_late_payment_risk,LogReg,0.18371857328234203,0.48999999999999994,0,-0.3062814267176579
inst_0000051,order_000029,user_00009,merchant_0050,3,2026-01-17,2026-03-29,unpaid,89.0,1,1,2.0,Casablanca,0.0,0.0,0.0,1.0,6,0.0,1.9459101490553128,2,820.0,1324.0,1640.0,4.752945558519437,MAD,0,0,0.0,2,2,0,0.0,0.0,1,0.1333333333333333,0.0666666666666666,0.3333333333333333,home,Casablanca,uc1_late_payment_risk,LogReg,0.2508755320559547,0.48999999999999994,0,-0.23912446794404524
inst_0000062,order_000036,user_00010,merchant_0033,2,2026-01-17,2026-03-21,unpaid,32.0,2,1,2.5,Rabat,,,,,12,0.8,2.5649493574615367,2,1845.5,2209.0,3691.0,5.059893592174323,MAD,0,0,0.0,2,1,1,0.5,1.6931471805599454,1,0.0,0.0,0.0,travel,Rabat,uc1_late_payment_risk,LogReg,0.14271296358043598,0.48999999999999994,0,-0.34728703641956393
inst_0000068,order_000038,user_00011,merchant_0096,2,2026-01-17,2026-02-02,unpaid,57.0,2,1,2.5,Casablanca,1.0,8.0,8.0,0.0,11,3.838057204135354,2.4849066497880004,4,2589.5,3515.0,10358.0,5.542822720256681,MAD,1,0,1.0,4,3,1,0.25,1.1931471805599454,1,0.0434782608695652,0.0,0.0869565217391304,travel,Rabat,uc1_late_payment_risk,LogReg,0.28965611741520897,0.48999999999999994,0,-0.20034388258479097
inst_0000082,order_000045,user_00013,merchant_0023,1,2026-01-17,2026-03-05,unpaid,43.0,1,1,2.0,Rabat,,,,,6,0.8,1.9459101490553128,1,581.0,581.0,581.0,4.097141140862841,MAD,0,0,0.0,1,1,0,0.0,0.0,1,0.0,0.0,0.0,electronics,Rabat,uc1_late_payment_risk,LogReg,0.3015578921022681,0.48999999999999994,0,-0.18844210789773186
inst_0000086,order_000048,user_00013,merchant_0089,2,2026-01-17,2026-03-14,unpaid,43.0,1,1,2.0,Rabat,,,,,6,0.8,1.9459101490553128,1,581.0,581.0,581.0,4.097141140862841,MAD,0,0,0.0,1,1,0,0.0,0.0,1,0.0,0.0,0.0,fashion,Rabat,uc1_late_payment_risk,LogReg,0.324477587597489,0.48999999999999994,0,-0.16552241240251092
inst_0000095,order_000053,user_00016,merchant_0113,2,2026-01-17,2026-01-22,unpaid,75.0,2,1,2.5,Rabat,1.0,25.0,25.0,0.0,5,4.5806675766150375,1.791759469228055,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,1,0.05,0.0,0.1,travel,Casablanca,uc1_late_payment_risk,LogReg,0.3996772985892403,0.48999999999999994,0,-0.09032270141075965
inst_0000134,order_000078,user_00024,merchant_0098,2,2026-01-17,2026-03-28,unpaid,37.0,2,-1,0.5,Marrakech,,,,,3,0.8,1.3862943611198906,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,electronics,Rabat,uc1_late_payment_risk,LogReg,0.3129612158428989,0.48999999999999994,0,-0.17703878415710106
inst_0000141,order_000081,user_00025,merchant_0003,3,2026-01-17,2026-03-09,unpaid,78.0,1,1,2.0,Casablanca,0.0,0.0,0.0,1.0,4,0.0,1.6094379124341005,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,1,0.0,0.0,0.0,travel,Casablanca,uc1_late_payment_risk,LogReg,0.5832853875158124,0.48999999999999994,1,0.09328538751581245
inst_0000149,order_000092,user_00029,merchant_0032,2,2026-01-17,2026-02-10,unpaid,64.0,1,1,2.0,Rabat,0.5,7.0,7.0,0.5,8,2.605609079175885,2.19722457733622,0,,,,0.0,MAD,0,0,0.0,0,0,0,0.0,0.0,1,0.0666666666666666,0.0666666666666666,0.2,electronics,Rabat,uc1_late_payment_risk,LogReg,0.49516896940754385,0.48999999999999994,1,0.005168969407543911
