installment_id,order_id,user_id,merchant_id,installment_number,due_date,paid_date,status,late_days
inst_0000001,order_000006,user_00002,merchant_0109,1,2026-01-31,2026-01-30,paid,0.0
inst_0000002,order_000006,user_00002,merchant_0109,2,2026-03-02,,unpaid,
inst_0000003,order_000006,user_00002,merchant_0109,3,2026-04-01,2026-04-06,late,5.0
inst_0000004,order_000007,user_00002,merchant_0053,1,2025-12-10,2025-12-10,paid,0.0
inst_0000005,order_000007,user_00002,merchant_0053,2,2026-01-09,2026-01-08,paid,0.0
inst_0000006,order_000007,user_00002,merchant_0053,3,2026-02-08,2026-02-07,paid,0.0
inst_0000007,order_000008,user_00003,merchant_0093,1,2026-01-05,2026-01-03,paid,0.0
inst_0000008,order_000008,user_00003,merchant_0093,2,2026-02-04,2026-02-07,late,3.0
inst_0000009,order_000008,user_00003,merchant_0093,3,2026-03-06,2026-03-26,late,20.0
inst_0000010,order_000011,user_00004,merchant_0118,1,2026-01-15,2026-01-14,paid,0.0
inst_0000011,order_000011,user_00004,merchant_0118,2,2026-02-14,2026-02-13,paid,0.0
inst_0000012,order_000011,user_00004,merchant_0118,3,2026-03-16,2026-03-16,paid,0.0
inst_0000013,order_000012,user_00004,merchant_0031,1,2025-11-15,,unpaid,
inst_0000014,order_000012,user_00004,merchant_0031,2,2025-12-15,2025-12-14,paid,0.0
inst_0000015,order_000012,user_00004,merchant_0031,3,2026-01-14,2026-01-13,paid,0.0
inst_0000016,order_000014,user_00004,merchant_0061,1,2026-01-04,2026-01-11,late,7.0
inst_0000017,order_000014,user_00004,merchant_0061,2,2026-02-03,2026-02-03,paid,0.0
inst_0000018,order_000014,user_00004,merchant_0061,3,2026-03-05,,unpaid,
inst_0000019,order_000016,user_00006,merchant_0075,1,2025-12-26,2025-12-26,paid,0.0
inst_0000020,order_000016,user_00006,merchant_0075,2,2026-01-25,2026-01-23,paid,0.0
inst_0000021,order_000016,user_00006,merchant_0075,3,2026-02-24,2026-02-24,paid,0.0
inst_0000022,order_000017,user_00006,merchant_0025,1,2026-01-09,2026-01-08,paid,0.0
inst_0000023,order_000017,user_00006,merchant_0025,2,2026-02-08,2026-02-06,paid,0.0
inst_0000024,order_000017,user_00006,merchant_0025,3,2026-03-10,2026-03-10,paid,0.0
inst_0000025,order_000018,user_00006,merchant_0006,1,2026-01-24,2026-01-24,paid,0.0
inst_0000026,order_000018,user_00006,merchant_0006,2,2026-02-23,2026-03-19,late,24.0
inst_0000027,order_000018,user_00006,merchant_0006,3,2026-03-25,2026-03-25,paid,0.0
inst_0000028,order_000019,user_00006,merchant_0051,1,2025-12-18,2025-12-16,paid,0.0
inst_0000029,order_000019,user_00006,merchant_0051,2,2026-01-17,2026-01-16,paid,0.0
inst_0000030,order_000019,user_00006,merchant_0051,3,2026-02-16,2026-02-16,paid,0.0
inst_0000031,order_000020,user_00006,merchant_0096,1,2026-01-03,2026-01-03,paid,0.0
inst_0000032,order_000020,user_00006,merchant_0096,2,2026-02-02,,unpaid,
inst_0000033,order_000020,user_00006,merchant_0096,3,2026-03-04,2026-03-02,paid,0.0
inst_0000034,order_000021,user_00007,merchant_0013,1,2026-03-28,2026-03-28,paid,0.0
inst_0000035,order_000021,user_00007,merchant_0013,2,2026-04-27,2026-04-25,paid,0.0
inst_0000036,order_000021,user_00007,merchant_0013,3,2026-05-27,2026-05-26,paid,0.0
inst_0000037,order_000022,user_00007,merchant_0095,1,2026-03-24,2026-03-23,paid,0.0
inst_0000038,order_000022,user_00007,merchant_0095,2,2026-04-23,2026-05-03,late,10.0
inst_0000039,order_000022,user_00007,merchant_0095,3,2026-05-23,,unpaid,
inst_0000040,order_000023,user_00007,merchant_0041,1,2026-03-06,2026-03-06,paid,0.0
inst_0000041,order_000023,user_00007,merchant_0041,2,2026-04-05,,unpaid,
inst_0000042,order_000023,user_00007,merchant_0041,3,2026-05-05,2026-05-04,paid,0.0
inst_0000043,order_000026,user_00008,merchant_0118,1,2025-12-13,2025-12-13,paid,0.0
inst_0000044,order_000026,user_00008,merchant_0118,2,2026-01-12,2026-01-30,late,18.0
inst_0000045,order_000026,user_00008,merchant_0118,3,2026-02-11,2026-02-15,late,4.0
