payment_id,installment_id,order_id,user_id,merchant_id,payment_date,amount,payment_channel,status
pay_0000001,inst_0000001,order_000006,user_00002,merchant_0109,2026-01-30,240.33,card,success
pay_0000002,inst_0000002,order_000006,user_00002,merchant_0109,2026-03-02,240.33,card,failed
pay_0000003,inst_0000003,order_000006,user_00002,merchant_0109,2026-04-06,240.33,card,success
pay_0000004,inst_0000004,order_000007,user_00002,merchant_0053,2025-12-10,292.33,wallet,success
pay_0000005,inst_0000005,order_000007,user_00002,merchant_0053,2026-01-08,292.33,wallet,success
pay_0000006,inst_0000006,order_000007,user_00002,merchant_0053,2026-02-07,292.33,card,success
pay_0000007,inst_0000007,order_000008,user_00003,merchant_0093,2026-01-03,1238.0,card,success
pay_0000008,inst_0000008,order_000008,user_00003,merchant_0093,2026-02-07,1238.0,card,success
pay_0000009,inst_0000009,order_000008,user_00003,merchant_0093,2026-03-26,1238.0,wallet,success
pay_0000010,inst_0000010,order_000011,user_00004,merchant_0118,2026-01-14,525.0,wallet,success
pay_0000011,inst_0000011,order_000011,user_00004,merchant_0118,2026-02-13,525.0,card,success
pay_0000012,inst_0000012,order_000011,user_00004,merchant_0118,2026-03-16,525.0,card,success
pay_0000013,inst_0000013,order_000012,user_00004,merchant_0031,2025-11-15,850.33,wallet,failed
pay_0000014,inst_0000014,order_000012,user_00004,merchant_0031,2025-12-14,850.33,wallet,success
pay_0000015,inst_0000015,order_000012,user_00004,merchant_0031,2026-01-13,850.33,wallet,success
pay_0000016,inst_0000016,order_000014,user_00004,merchant_0061,2026-01-11,431.33,wallet,success
pay_0000017,inst_0000017,order_000014,user_00004,merchant_0061,2026-02-03,431.33,card,success
pay_0000018,inst_0000018,order_000014,user_00004,merchant_0061,2026-03-05,431.33,wallet,failed
pay_0000019,inst_0000019,order_000016,user_00006,merchant_0075,2025-12-26,1236.0,card,success
pay_0000020,inst_0000020,order_000016,user_00006,merchant_0075,2026-01-23,1236.0,wallet,success
pay_0000021,inst_0000021,order_000016,user_00006,merchant_0075,2026-02-24,1236.0,wallet,success
pay_0000022,inst_0000022,order_000017,user_00006,merchant_0025,2026-01-08,585.0,card,success
pay_0000023,inst_0000023,order_000017,user_00006,merchant_0025,2026-02-06,585.0,card,failed
pay_0000024,inst_0000024,order_000017,user_00006,merchant_0025,2026-03-10,585.0,wallet,success
pay_0000025,inst_0000025,order_000018,user_00006,merchant_0006,2026-01-24,977.67,wallet,success
pay_0000026,inst_0000026,order_000018,user_00006,merchant_0006,2026-03-19,977.67,wallet,failed
pay_0000027,inst_0000027,order_000018,user_00006,merchant_0006,2026-03-25,977.67,wallet,success
pay_0000028,inst_0000028,order_000019,user_00006,merchant_0051,2025-12-16,208.67,wallet,failed
pay_0000029,inst_0000029,order_000019,user_00006,merchant_0051,2026-01-16,208.67,wallet,success
pay_0000030,inst_0000030,order_000019,user_00006,merchant_0051,2026-02-16,208.67,card,success
pay_0000031,inst_0000031,order_000020,user_00006,merchant_0096,2026-01-03,470.33,wallet,success
pay_0000032,inst_0000033,order_000020,user_00006,merchant_0096,2026-03-02,470.33,wallet,success
pay_0000033,inst_0000034,order_000021,user_00007,merchant_0013,2026-03-28,515.33,wallet,success
pay_0000034,inst_0000035,order_000021,user_00007,merchant_0013,2026-04-25,515.33,card,success
pay_0000035,inst_0000036,order_000021,user_00007,merchant_0013,2026-05-26,515.33,card,success
pay_0000036,inst_0000037,order_000022,user_00007,merchant_0095,2026-03-23,880.67,wallet,success
pay_0000037,inst_0000038,order_000022,user_00007,merchant_0095,2026-05-03,880.67,wallet,success
pay_0000038,inst_0000039,order_000022,user_00007,merchant_0095,2026-05-23,880.67,card,failed
pay_0000039,inst_0000040,order_000023,user_00007,merchant_0041,2026-03-06,559.33,wallet,success
pay_0000040,inst_0000041,order_000023,user_00007,merchant_0041,2026-04-05,559.33,card,failed
pay_0000041,inst_0000042,order_000023,user_00007,merchant_0041,2026-05-04,559.33,card,success
pay_0000042,inst_0000043,order_000026,user_00008,merchant_0118,2025-12-13,375.33,wallet,success
pay_0000043,inst_0000044,order_000026,user_00008,merchant_0118,2026-01-30,375.33,wallet,success
pay_0000044,inst_0000045,order_000026,user_00008,merchant_0118,2026-02-15,375.33,card,success
pay_0000045,inst_0000047,order_000028,user_00009,merchant_0105,2026-02-08,442.0,card,success
pay_0000046,inst_0000048,order_000028,user_00009,merchant_0105,2026-03-10,442.0,card,success
pay_0000047,inst_0000049,order_000029,user_00009,merchant_0050,2026-02-19,105.33,card,success
pay_0000048,inst_0000050,order_000029,user_00009,merchant_0050,2026-03-13,105.33,wallet,success
pay_0000049,inst_0000052,order_000032,user_00010,merchant_0110,2026-01-21,494.0,wallet,success
