refund_id,order_id,user_id,merchant_id,refund_date,amount
ref_000001,order_000029,user_00009,merchant_0050,2026-01-31,182.62
ref_000002,order_000035,user_00010,merchant_0067,2026-04-01,1518.62
ref_000003,order_000049,user_00014,merchant_0006,2026-02-23,2295.81
ref_000004,order_000057,user_00018,merchant_0110,2026-01-04,2975.7
ref_000005,order_000098,user_00031,merchant_0081,2025-10-29,2853.69
ref_000006,order_000119,user_00036,merchant_0107,2026-01-26,1350.0
ref_000007,order_000121,user_00037,merchant_0059,2025-12-20,1497.72
ref_000008,order_000158,user_00048,merchant_0037,2026-01-22,1071.98
ref_000009,order_000241,user_00076,merchant_0081,2026-03-05,1399.09
ref_000010,order_000264,user_00086,merchant_0030,2026-02-08,1443.44
ref_000011,order_000318,user_00102,merchant_0037,2026-02-01,3706.7
ref_000012,order_000348,user_00111,merchant_0040,2026-01-23,404.11
ref_000013,order_000363,user_00117,merchant_0114,2025-12-06,2811.88
ref_000014,order_000387,user_00124,merchant_0091,2026-01-13,1625.42
ref_000015,order_000390,user_00125,merchant_0008,2025-11-29,1149.51
ref_000016,order_000422,user_00138,merchant_0112,2025-12-17,1621.02
ref_000017,order_000488,user_00159,merchant_0101,2026-01-11,174.8
ref_000018,order_000509,user_00165,merchant_0075,2025-12-01,2634.39
ref_000019,order_000530,user_00173,merchant_0096,2026-02-10,1921.89
ref_000020,order_000545,user_00179,merchant_0053,2026-01-11,1412.6
ref_000021,order_000568,user_00187,merchant_0097,2025-11-24,1317.95
ref_000022,order_000592,user_00194,merchant_0076,2025-12-27,967.69
ref_000023,order_000615,user_00201,merchant_0047,2025-12-12,861.36
ref_000024,order_000673,user_00220,merchant_0085,2025-10-22,705.81
ref_000025,order_000703,user_00228,merchant_0111,2026-01-11,1396.69
ref_000026,order_000720,user_00233,merchant_0069,2026-01-11,1985.87
ref_000027,order_000791,user_00256,merchant_0053,2025-12-13,901.6
ref_000028,order_000878,user_00289,merchant_0071,2026-01-25,3277.65
ref_000029,order_000880,user_00290,merchant_0073,2025-10-25,2635.67
ref_000030,order_000887,user_00292,merchant_0066,2025-12-17,3151.7
ref_000031,order_000888,user_00293,merchant_0030,2025-11-01,1971.35
ref_000032,order_000900,user_00297,merchant_0078,2025-12-02,2868.54
ref_000033,order_000908,user_00302,merchant_0118,2026-03-18,1030.1
ref_000034,order_000926,user_00307,merchant_0021,2025-11-06,2257.33
ref_000035,order_000992,user_00330,merchant_0040,2026-01-03,1552.64
ref_000036,order_001031,user_00341,merchant_0035,2026-02-04,430.01
ref_000037,order_001168,user_00389,merchant_0002,2026-02-08,3409.5
ref_000038,order_001276,user_00426,merchant_0078,2025-12-29,1230.44
ref_000039,order_001289,user_00433,merchant_0042,2026-02-09,1426.57
ref_000040,order_001293,user_00434,merchant_0004,2026-02-04,1004.02
ref_000041,order_001302,user_00437,merchant_0115,2026-02-21,1134.61
ref_000042,order_001307,user_00438,merchant_0026,2026-01-19,1935.41
ref_000043,order_001398,user_00465,merchant_0113,2026-02-20,2629.67
ref_000044,order_001400,user_00466,merchant_0044,2025-12-20,208.96
ref_000045,order_001414,user_00470,merchant_0004,2026-01-29,3712.74
ref_000046,order_001423,user_00472,merchant_0049,2026-03-17,3075.89
ref_000047,order_001485,user_00494,merchant_0116,2026-01-14,2309.22
ref_000048,order_001498,user_00499,merchant_0072,2026-02-02,912.46
ref_000049,order_001501,user_00500,merchant_0075,2025-11-21,2467.99
ref_000050,order_001510,user_00505,merchant_0049,2026-01-07,933.06
ref_000051,order_001595,user_00534,merchant_0025,2025-11-27,1575.13
ref_000052,order_001622,user_00543,merchant_0048,2025-12-14,3395.72
ref_000053,order_001623,user_00543,merchant_0027,2026-01-12,1449.4
ref_000054,order_001636,user_00546,merchant_0032,2025-12-05,3459.69
ref_000055,order_001690,user_00567,merchant_0006,2026-01-12,1445.43
ref_000056,order_001694,user_00570,merchant_0107,2025-12-28,1705.97
ref_000057,order_001713,user_00576,merchant_0077,2026-02-04,2139.83
ref_000058,order_001735,user_00582,merchant_0084,2026-03-16,3282.56
ref_000059,order_001871,user_00625,merchant_0042,2025-11-30,597.41
ref_000060,order_001881,user_00628,merchant_0011,2025-12-23,1413.59
ref_000061,order_001885,user_00629,merchant_0110,2025-12-31,580.71
ref_000062,order_001890,user_00630,merchant_0056,2026-01-26,1260.71
ref_000063,order_001904,user_00635,merchant_0028,2025-11-19,3488.1
ref_000064,order_001940,user_00647,merchant_0067,2026-01-24,2450.37
ref_000065,order_001989,user_00666,merchant_0113,2026-02-11,2377.3
ref_000066,order_002023,user_00679,merchant_0002,2026-03-24,2034.52
ref_000067,order_002058,user_00693,merchant_0032,2026-03-26,1019.54
ref_000068,order_002059,user_00693,merchant_0058,2026-04-05,1269.63
ref_000069,order_002094,user_00706,merchant_0100,2025-12-12,1550.25
ref_000070,order_002159,user_00729,merchant_0012,2025-12-16,1817.43
ref_000071,order_002169,user_00731,merchant_0050,2025-12-06,1057.4
ref_000072,order_002191,user_00738,merchant_0017,2025-11-15,2256.14
ref_000073,order_002202,user_00740,merchant_0047,2026-01-21,238.96
ref_000074,order_002299,user_00771,merchant_0078,2025-12-30,160.21
ref_000075,order_002322,user_00778,merchant_0094,2026-01-17,598.62
ref_000076,order_002428,user_00816,merchant_0083,2026-01-10,2973.65
ref_000077,order_002437,user_00820,merchant_0091,2026-03-19,477.24
ref_000078,order_002443,user_00821,merchant_0008,2025-12-17,1306.79
ref_000079,order_002455,user_00825,merchant_0015,2025-12-11,629.8
ref_000080,order_002459,user_00826,merchant_0120,2026-01-22,792.45
ref_000081,order_002466,user_00831,merchant_0086,2025-11-16,1216.04
ref_000082,order_002492,user_00840,merchant_0014,2026-01-06,1222.24
ref_000083,order_002504,user_00845,merchant_0019,2026-03-17,3221.26
ref_000084,order_002514,user_00848,merchant_0089,2026-02-04,1087.09
ref_000085,order_002541,user_00859,merchant_0114,2025-12-10,1172.1
ref_000086,order_002546,user_00860,merchant_0035,2026-01-31,3420.64
ref_000087,order_002553,user_00863,merchant_0093,2026-01-31,2618.03
ref_000088,order_002614,user_00881,merchant_0072,2026-01-05,2741.21
ref_000089,order_002671,user_00901,merchant_0078,2026-02-19,1827.18
ref_000090,order_002681,user_00904,merchant_0041,2026-04-10,1973.46
ref_000091,order_002689,user_00906,merchant_0044,2026-01-22,1181.67
ref_000092,order_002860,user_00969,merchant_0021,2025-10-21,3530.58
ref_000093,order_002863,user_00970,merchant_0056,2026-01-17,1408.85
ref_000094,order_002925,user_00991,merchant_0044,2026-02-22,1601.66
ref_000095,order_002934,user_00994,merchant_0064,2025-12-31,524.23
